iter	Passed	Remaining
429	1764	3598
430	1768	3594
431	1772	3589
432	1776	3585
433	1779	3580
434	1784	3576
435	1787	3571
436	1791	3567
437	1795	3563
438	1799	3558
439	1803	3554
440	1807	3549
441	1811	3545
442	1815	3541
443	1819	3536
444	1823	3531
445	1827	3527
446	1831	3523
447	1835	3519
448	1839	3514
449	1843	3510
450	1847	3506
451	1851	3502
452	1855	3498
453	1860	3494
454	1864	3490
455	1867	3485
456	1871	3481
457	1875	3476
458	1879	3472
459	1883	3468
460	1887	3463
461	1891	3459
462	1895	3455
463	1899	3450
464	1903	3446
465	1907	3441
466	1910	3437
467	1914	3432
468	1919	3429
469	1923	3425
470	1927	3421
471	1931	3416
472	1935	3412
473	1939	3408
474	1943	3404
475	1947	3399
476	1951	3395
477	1955	3390
478	1959	3386
479	1963	3382
480	1967	3378
481	1971	3374
482	1975	3369
483	1979	3365
484	1983	3361
485	1986	3356
486	1990	3351
487	1994	3347
488	1998	3342
489	2002	3338
490	2006	3333
491	2010	3329
492	2014	3325
493	2018	3321
494	2022	3317
495	2026	3312
496	2030	3308
497	2033	3303
498	2037	3299
499	2041	3295
500	2046	3291
501	2050	3287
502	2054	3283
503	2058	3279
504	2062	3274
505	2066	3270
506	2070	3266
507	2073	3261
508	2077	3257
509	2081	3253
510	2085	3249
511	2089	3244
512	2093	3239
513	2097	3235
514	2101	3231
515	2105	3227
516	2109	3223
517	2113	3219
518	2117	3214
519	2121	3210
520	2125	3205
521	2128	3201
522	2132	3197
523	2137	3193
524	2140	3189
525	2145	3184
526	2149	3181
527	2153	3176
528	2157	3172
529	2161	3168
530	2164	3163
531	2168	3159
532	2172	3155
533	2176	3150
534	2180	3146
535	2184	3142
536	2188	3138
537	2192	3133
538	2196	3129
539	2200	3125
540	2204	3120
541	2207	3116
542	2211	3111
543	2215	3107
544	2219	3103
545	2223	3098
546	2227	3094
547	2231	3090
548	2235	3086
549	2239	3082
550	2243	3077
551	2247	3073
552	2251	3069
553	2255	3065
554	2259	3061
555	2263	3057
556	2267	3053
557	2271	3049
558	2275	3044
559	2279	3040
560	2282	3035
561	2287	3031
562	2291	3027
563	2295	3023
564	2299	3019
565	2303	3015
566	2306	3010
567	2310	3006
568	2314	3002
569	2318	2998
570	2322	2993
571	2326	2989
572	2330	2985
573	2334	2981
574	2338	2977
575	2342	2973
576	2346	2968
577	2350	2964
578	2354	2960
579	2358	2956
580	2362	2951
581	2366	2947
582	2370	2943
583	2373	2938
584	2377	2934
585	2381	2930
586	2385	2926
587	2389	2922
588	2393	2917
589	2397	2913
590	2401	2909
591	2405	2904
592	2409	2900
593	2413	2896
594	2417	2892
595	2421	2888
596	2425	2884
597	2429	2880
598	2434	2877
599	2438	2873
600	2442	2869
601	2446	2865
602	2450	2861
603	2454	2856
604	2458	2852
605	2462	2848
606	2466	2844
607	2470	2839
608	2474	2835
609	2478	2831
610	2482	2827
611	2486	2823
612	2490	2819
613	2494	2815
614	2498	2811
615	2502	2806
616	2506	2802
617	2509	2798
618	2513	2794
619	2517	2789
620	2521	2785
621	2525	2781
622	2529	2777
623	2533	2772
624	2537	2768
625	2540	2764
626	2544	2760
627	2549	2756
628	2552	2751
629	2556	2747
630	2560	2743
631	2564	2739
632	2568	2735
633	2572	2730
634	2576	2726
635	2580	2722
636	2584	2718
637	2588	2713
638	2591	2709
639	2595	2705
640	2599	2700
641	2603	2697
642	2607	2692
643	2611	2688
644	2615	2684
645	2619	2680
646	2623	2676
647	2627	2672
648	2631	2668
649	2635	2663
650	2639	2660
651	2644	2656
652	2648	2652
